,Agriculture,Fishing,Mining and Quarrying,Food & Beverages,Textiles and Wearing Apparel,Wood and Paper,"Petroleum, Chemical and Non-Metallic Mineral Products",Metal Products,Electrical and Machinery,Transport Equipment,Other Manufacturing,Recycling,"Electricity, Gas and Water",Construction,Maintenance and Repair,Wholesale Trade,Retail Trade,Hotels and Restraurants,Transport,Post and Telecommunications,Finacial Intermediation and Business Activities,Public Administration,"Education, Health and Other Services",Private Households,Others
AUS,0.5557258507383411,0.5108220477947061,0.5275760515188151,0.2270157093899877,0.3757126176356506,0.44010048567966503,0.21134003749270572,0.22978674235949864,0.23229893572883567,0.3121949289201796,0.4168575002742163,0.35383405042707916,0.5502128813727994,0.4624088196330849,0.7656101631031411,0.6709811107206781,0.8581693429864209,0.4863177229526939,0.36228340259678155,0.44456054591063254,0.5278097179902369,0.43872409509619403,0.6357650724331261,0.6467470463709636,0.44750158172988536
AUT,0.8337215949636956,0.3670400293028872,0.41793524707958907,0.20840280318371962,0.27216005151103445,0.2384286167193832,0.29616952410330505,0.28774431758885194,0.2946473529376051,0.22245224163327776,0.3348879734875039,0.4040139366748829,0.4082972539923017,0.40872181261574175,0.4855896733611715,0.4590349138819172,0.6477903887086961,0.4327692251280999,0.4754124320532422,0.4030713049864922,0.4723638586716516,0.6259142450203619,0.6300634287997616,0.99,0.6658701899479071
BEL,0.20625822636359986,0.1944765058076074,0.10572216673409858,0.13302940237692898,0.1674135497256903,0.21172599911377368,0.17224784295728812,0.18419212052952208,0.16933786779593213,0.14772830900062256,0.1539747425126439,0.99,0.4788021323865544,0.2690780264489791,0.3498247479661938,0.3130239747011642,0.99,0.30499957302522784,0.3368683807512815,0.6222768233960461,0.5318387202330734,0.9137939889145065,0.6742769072561121,0.99,0.4681836304727526
BRA,0.6047526054877062,0.99,0.30934669376317364,0.17333209508709038,0.3527469675061213,0.4502225549967995,0.20894321694833998,0.3590029854080361,0.3086261478744271,0.2191716817581135,0.25752234495634924,0.99,0.42846351451324177,0.5783237289725403,0.99,0.99,0.99,0.7956682932026148,0.5332133744996935,0.5682442218769347,0.7295185156880063,0.8578640902812928,0.5214161541259508,0.008103354362871644,0.99
BGR,0.3251748812570042,0.8854710288319764,0.28172931791380573,0.18183758482427748,0.1310749291125146,0.20061820755471652,0.15144237314448128,0.17675656668652798,0.1935012034613122,0.1339731845568151,0.20353645920064203,0.06843612188444433,0.3424132698846635,0.22253596803274098,0.5440350986861874,0.4220810606827587,0.5307025790614773,0.43486830328573445,0.2966334789002665,0.3641675183337382,0.6347673704951452,0.47108017531648155,0.46393675549765245,0.6034038701051304,0.3776901010994312
CAN,0.3199899580655048,0.3237069280884505,0.6874994877992405,0.25810887527097687,0.42579954247701246,0.3308208373966978,0.2908034032913654,0.37050813038655817,0.45628416628472196,0.33557398682058187,0.48018832466679157,0.31454719102390943,0.7662463350412589,0.4743736400771827,0.49835855041544885,0.498357839988665,0.49835800633306565,0.5510675581955378,0.3213589684949242,0.34126154218804355,0.5397507846622233,0.4292534740494507,0.6927178962859579,0.99,0.99
CHN,0.635059760553236,0.5669069743082739,0.473047830465961,0.414114899706481,0.3340313908063626,0.42899518777372336,0.3072361560900613,0.23998350806400678,0.33726223376210446,0.3422854438318505,0.39735244756247895,0.7439856019985265,0.29684084996068016,0.298797455145694,0.9004332662789448,0.9004343312038376,0.9004341289660923,0.5612443423734588,0.5673480883088332,0.7767783313508638,0.71615799065716,0.6300685307701152,0.5763266157274077,0.6030408451600368,0.6300699439173842
CZE,0.2296394884640921,0.3470390599479807,0.3901868224843261,0.12567845418266674,0.16663769996891725,0.17159502695220297,0.15312435309196248,0.15307101812697552,0.14769730297290548,0.11261136100284737,0.18301171609491845,0.11198753723900177,0.16204892402954882,0.14218158483628787,0.16177107131146468,0.3012025762915931,0.5654477911017264,0.15451192817212364,0.28689587560158514,0.38953323979445287,0.3017398658750129,0.526396881415068,0.4491265611775052,0.99,0.48639951549659133
DNK,0.28081653601593437,0.4117251409890082,0.7762528717101801,0.1897781331103711,0.20706057515721427,0.28693020792053625,0.2907405645182004,0.30483544581294175,0.32307622149626136,0.35185031041794307,0.34004391946710855,0.11843433491587035,0.2998624461522019,0.30788240204501605,0.6404058270410429,0.40142804586871006,0.5689172264388678,0.3464286711241056,0.4028079565451501,0.3099864353767006,0.5133444034806033,0.6601594903481283,0.5941619520996496,0.99,0.5820371023836166
EST,0.3599840855288741,0.3874590692625484,0.5451075403551899,0.18959294289485432,0.23454341304185877,0.21905130612512852,0.2209703100926619,0.170559667811912,0.11273220522869938,0.30794496732647275,0.2777098379847881,0.99,0.3756040052440744,0.39471245083103645,0.4234146919437407,0.39084009468111625,0.6045788946082973,0.2942919912079331,0.2771411914779156,0.5312795116906555,0.6013391425609036,0.6014629395541043,0.6042358629214739,0.9801261730873412,0.5460664871829626
FIN,0.4908176031266058,0.5668691214552479,0.5971631985815145,0.13408802756073449,0.3028515208196242,0.24046654202368228,0.18581458676684087,0.1941198110097726,0.23295623854761935,0.26434827077142076,0.289978037903803,0.6528203253599207,0.5864253133059724,0.3909991697212332,0.504110959740183,0.3492365613821873,0.6296296195814277,0.3081624966519938,0.46592667630508616,0.5635063967137613,0.5237900418271536,0.5633916495792134,0.6731265318952462,0.99,0.6094706953408411
FRA,0.33556940376326266,0.5468834215271131,0.752230028798834,0.1287545629384547,0.19444899870434518,0.24126913529061939,0.1441965386591716,0.23106548153984896,0.21214835173571983,0.11448472107822646,0.23025189498978135,0.99,0.4396214294707868,0.3854932256076675,0.5642973430303367,0.42772034210674226,0.6625761410861438,0.45027545889053844,0.5188723684550725,0.550478459558835,0.5415811656551558,0.8083911320878765,0.7676690388889796,0.99,0.6064260136702504
DEU,0.39067852006951687,0.5064102325479323,0.8404988851764842,0.22747866909203118,0.21104627745304347,0.30547710649130755,0.18281874376471063,0.2076214546333413,0.309300007272363,0.15873527852297042,0.408112748684117,0.14047511610881894,0.42175197000168724,0.4048492419696054,0.5542047169826462,0.5450962822528896,0.5626333847418901,0.4507246987212251,0.4288316941102579,0.4610027975595215,0.5617391758269875,0.6453808402263843,0.667743382492153,0.99,0.99
GRC,0.5685158518738459,0.5268827769963669,0.2314757145683832,0.19646158617641463,0.2863641413745225,0.24562119087806839,0.19395074652641636,0.19781472373103692,0.27720259318254664,0.4588154913559334,0.4070346882258173,0.1182031507173483,0.6491477595337163,0.14820990387746938,0.5208131652895671,0.5010883717090097,0.5117386533852174,0.42686186013410726,0.4177316779910102,0.7315856326348248,0.660476291591303,0.7232915945699144,0.7578892218382899,0.99,0.7351739983630906
HUN,0.36381574520244886,0.99,0.1748388115345911,0.16053360661006444,0.2819646315795918,0.2391311093412534,0.3071998258181476,0.2507763094028754,0.17851450546974873,0.19362018771415412,0.19025264687068483,0.25597249822433804,0.3235227320518505,0.3537231190824709,0.2921225454272691,0.3250005325334045,0.6505927976140563,0.26044141187401315,0.4249169354408691,0.6491976013367227,0.5437797909275381,0.7181456088688803,0.5684880160019744,0.0065344928080975076,0.457101989379679
IND,0.7331242167214614,0.8031326750095402,0.6772660792258116,0.27350096311505684,0.5189266026183564,0.5921383375181513,0.378185900870738,0.29920995294759534,0.30429400348991864,0.3765467560101204,0.34478226949600893,0.3954251982736544,0.3498894918711283,0.4724677172033976,0.6318673858982934,0.6318679520146427,0.6318680045035077,0.21665042641624385,0.4578825871354613,0.8951876326575965,0.8521697493958327,0.9696383171042959,0.5838048791275692,0.434848828769199,0.43484909494023327
IRL,0.3543623578766304,0.6726848829804382,0.4483719479504486,0.29967286702945223,0.5074876696903793,0.315688812686121,0.47192393436845453,0.5911998986229728,0.38298948724859777,0.6051752644995636,0.40087230124371875,0.4040402720941576,0.5628977975979573,0.15377451375940665,0.6143673530609141,0.3809796026879117,0.99,0.30552489867086996,0.7292347269849763,0.7550607936792051,0.5938314471119438,0.5768306290845843,0.760779159338635,0.99,0.49674409194584046
ITA,0.5349766044737528,0.6482562658618616,0.872651945736867,0.17143335586029299,0.20445268986619353,0.25193514470738715,0.2280579280747985,0.28919312084791143,0.25353516348875066,0.1885492788713877,0.21294518811859456,0.35276010394980006,0.445771486180104,0.37386309454185845,0.36211911641091404,0.44586719714784684,0.5719436492367428,0.4760506556658273,0.4556034451246971,0.5814137276345985,0.6528375077945048,0.7448953264990409,0.7026714609315111,0.99,0.8291647356984183
JPN,0.39706384783923415,0.48664130144094464,0.21335261668218788,0.34621086178552574,0.39060410896934633,0.38846618950771,0.21303437094563724,0.19259560057437838,0.27867107462196394,0.13510784047298868,0.2839612047597956,0.20933858675199485,0.3381716162324545,0.4774644531148641,0.7202795492715706,0.740659270236433,0.6920287515967455,0.4602983691572363,0.6640961768412122,0.6035533806668439,0.6560723697331753,0.6000079026210122,0.6670455035941759,0.4437899867930427,0.1630975393147722
LTU,0.31817659146279254,0.054201408666018684,0.23913892459739222,0.2067292752278044,0.3601014287367752,0.3578269325752846,0.14629121182599028,0.2937974889789032,0.2986469697893573,0.1647166843279395,0.28121354022912337,0.2995560008464496,0.3596619355617098,0.4878611362729903,0.5556205356719562,0.5545007051845485,0.6298769812932837,0.5102752002837807,0.48644995272235975,0.7809264472567748,0.625387060728297,0.651361793261227,0.6205822066350386,0.9379536214641093,0.5417625255458316
MEX,0.6579824483950909,0.5381439588138021,0.808274916265137,0.26998902162387123,0.2452598438890184,0.2601115961301489,0.2445502841015727,0.27179636091456977,0.13809340066757383,0.2605244354484356,0.25935728220837756,0.2434676843384553,0.50488933126439,0.57490419941796,0.9229095699353336,0.9229103005087137,0.9229104327389577,0.9078331657283899,0.40334371586582696,0.38103626984760675,0.741603474742021,0.7304941180936647,0.8082137507228021,0.99,0.99
NLD,0.3023223510717568,0.5462650236058062,0.6700908309045402,0.15606473908452473,0.2118460137743957,0.25495382806104844,0.1616246370447138,0.21478728754313206,0.18279274459375666,0.12158185496234249,0.39417232011975095,0.22520648431771856,0.1630368818984719,0.2603917876745333,0.5245830742611193,0.5727659213835122,0.827930573346863,0.49101709621980383,0.5202486542478825,0.5923922168528009,0.6165605101351859,0.4403826045179985,0.6080611286217285,0.99,0.385299708547249
POL,0.2641684389261774,0.24428877680441172,0.6199519458922793,0.15968954077852535,0.2939004619562159,0.2932903711723421,0.26870533626022286,0.21444579743223213,0.2877743929957289,0.1800114700917308,0.250681412032284,0.47835281074445557,0.39050372645603343,0.3495257714524768,0.44095066224935675,0.5977393548738474,0.6009954968092907,0.23727289893227504,0.4585877451774623,0.5207968048299042,0.451441762130486,0.6779355094290099,0.5885696255943456,0.7406542179774556,0.5823359709257137
PRT,0.473392719085186,0.5076297953617026,0.5972960800196857,0.1976896205664172,0.23012754493440302,0.25122436832163336,0.18268260082244528,0.25115561371714146,0.19431927199257742,0.15947767308462182,0.22414791796361147,0.17070635385191812,0.5064091564695837,0.22181179437058499,0.6255439672680682,0.6065932618303668,0.7225443233122435,0.4923695442233888,0.4712536872833339,0.45206651402629217,0.6053811957896511,0.99,0.7063465624621047,0.99,0.6722086733260274
KOR,0.7024012589343024,0.18262404683281952,0.25694959552294594,0.28549730802206064,0.3175168551174172,0.1818171973135145,0.19283003265416196,0.1843156700261711,0.329336540018347,0.4843545906300954,0.1408145046084752,0.9999,0.34637490505273866,0.5288481175496751,0.9523061848220952,0.9523057786948007,0.9523071009759854,0.4085057699890153,0.45851166130178383,0.733456043314601,0.6836487070179244,0.28693072276951065,0.7923919948714115,0.5380966685915235,0.41312536716466763
ROU,0.2480040144686476,0.10834444302174237,0.3588253680867134,0.3213808664015402,0.3908207497221894,0.3854295896716712,0.2613634869295773,0.22173626823001502,0.39503678224986305,0.30943705607625516,0.44088011221031903,0.00015996086640355213,0.220783215266845,0.4411263579872875,0.7181851305848455,0.7043523068975683,0.7352049444776435,0.549595685531271,0.6667618979899949,0.7415931933487734,0.786450069116199,0.8383538468124674,0.7087411651340504,0.023446650807377654,0.04575346280003282
RUS,0.4769109331943208,0.4884671337133145,0.4126063808498014,0.2645288732138682,0.3860408986091284,0.40507265372756096,0.3821956602762482,0.3945654031286405,0.38565644665693855,0.001320353512666797,0.38813399560549133,0.29146200708020314,0.45187026294970944,0.4204664803028288,0.4968853127081635,0.4968860913563007,0.49688524705748716,0.0005006601458449358,0.3847231650151954,0.0009203822118138096,0.5098686138592647,3.0876960512351133e-06,0.5762094765117474,0.0009423271685688806,0.000942327544732216
SVK,0.3256245158513697,0.47731749353579045,0.6642592523234675,0.14142458720455156,0.2423132245729267,0.2094771301218865,0.16938722207462742,0.16298528355538622,0.18533201478062417,0.11220481586878558,0.17726874903276216,0.5319552215992968,0.12408040002181125,0.3901458520320723,0.2716281673392231,0.46895451825279283,0.4832063316768335,0.23442813892159317,0.35908598926136426,0.5201895794431666,0.5400868289027502,0.6157226762155072,0.6211574742011742,0.00249307816178302,0.7275660376949173
SVN,0.43560560522765107,0.3403012480235349,0.577629635391626,0.18280831212756568,0.2094591948763663,0.2444403594453863,0.28676350409531765,0.2663771444717442,0.24815400866322018,0.09624538674084564,0.23034211418134184,0.25564827054800743,0.5447300972791225,0.2542684760530372,0.39998645779394243,0.4584082135827895,0.3932493075601123,0.29654849345352347,0.500958949363939,0.6498024366998335,0.5595304346213126,0.5472864996399736,0.7035267506016243,0.8073083412837416,0.5789780641351507
ESP,0.6584912574594731,0.7050253950566423,0.5985720782272624,0.23050192285404647,0.3409955471768509,0.4071893498582541,0.2870760844264788,0.349049870914147,0.3713464642480744,0.24444056031631015,0.4149629069583319,0.19087669531445026,0.5466820761506471,0.23951787465651508,0.08289691239670756,0.49067925313786503,0.6486184200088355,0.5899612983183651,0.3980686799543604,0.5270807865667184,0.5460562260585419,0.9020968844463246,0.7221365802870489,0.99,0.9999
SWE,0.7254328794676297,0.536860371496116,0.4944516712198459,0.19994186350919396,0.27640429087133817,0.2695698338701304,0.3260511474399156,0.2612985091319131,0.2650334697230809,0.26752885394400755,0.467134431569101,0.20432571547865389,0.7839047012005587,0.7773854612524161,0.6800283200531982,0.02423746685684327,0.99,0.4667957599666116,0.5494224722957455,0.6496744823396137,0.5278462703554425,0.6451226231049102,0.6878419703947699,0.99,0.6807968948883548
