Importer,Exporter,Sector,Share
AUS,AUS,Agriculture,0.9642570461230876
AUS,AUS,Fishing,0.9113475868751737
AUS,AUS,Mining and Quarrying,0.7668152645164117
AUS,AUS,Food & Beverages,0.9590788691123454
AUS,AUS,Textiles and Wearing Apparel,0.9655930322138173
AUS,AUS,Wood and Paper,0.6682437318964608
AUS,AUS,"Petroleum, Chemical and Non-Metallic Mineral Products",0.944783698468491
AUS,AUS,Metal Products,0.7520979263901785
AUS,AUS,Electrical and Machinery,0.9090279418454605
AUS,AUS,Transport Equipment,0.946286973104392
AUS,AUS,Other Manufacturing,0.9271844312981378
AUS,AUS,Recycling,0.3602584639683053
AUS,AUS,"Electricity, Gas and Water",0.802378776861794
AUS,AUS,Construction,0.9919820466878133
AUS,AUS,Maintenance and Repair,0.063589820927288
AUS,AUS,Wholesale Trade,0.06337381667375656
AUS,AUS,Retail Trade,0.26639648295120755
AUS,AUS,Hotels and Restraurants,0.917437953644047
AUS,AUS,Transport,0.9451163279988689
AUS,AUS,Post and Telecommunications,0.7562867448329493
AUS,AUS,Finacial Intermediation and Business Activities,0.9597763153716182
AUS,AUS,Public Administration,0.956114037617234
AUS,AUS,"Education, Health and Other Services",0.9709995107870062
AUS,AUS,Private Households,0.8422215356434374
AUS,AUS,Others,0.0014212959071688313
AUS,AUT,Agriculture,4.454965398173719e-07
AUS,AUT,Fishing,4.4452480611719535e-07
AUS,AUT,Mining and Quarrying,2.0404429253926464e-05
AUS,AUT,Food & Beverages,0.0008640851453347978
AUS,AUT,Textiles and Wearing Apparel,3.2619057846032096e-05
AUS,AUT,Wood and Paper,7.612089738858102e-05
AUS,AUT,"Petroleum, Chemical and Non-Metallic Mineral Products",0.00016276072920188984
AUS,AUT,Metal Products,0.0011203718026960956
AUS,AUT,Electrical and Machinery,0.0006273661406558502
AUS,AUT,Transport Equipment,0.00047901441285586846
AUS,AUT,Other Manufacturing,0.0006496382480857194
AUS,AUT,Recycling,0.00010414107809168021
AUS,AUT,"Electricity, Gas and Water",1.7830200154490564e-05
AUS,AUT,Construction,6.558335425951125e-05
AUS,AUT,Maintenance and Repair,0.0005049526222897895
AUS,AUT,Wholesale Trade,2.161435559979044e-07
AUS,AUT,Retail Trade,0.002396863763224593
AUS,AUT,Hotels and Restraurants,0.00013911773501400709
AUS,AUT,Transport,0.0002490722152568695
AUS,AUT,Post and Telecommunications,0.0001267053300951225
AUS,AUT,Finacial Intermediation and Business Activities,0.00017134545810583933
AUS,AUT,Public Administration,2.0614729493570002e-08
AUS,AUT,"Education, Health and Other Services",0.00018475380902910089
AUS,AUT,Private Households,9.800942273927656e-07
AUS,AUT,Others,4.637051121334062e-06
AUS,BEL,Agriculture,9.727973663345911e-05
AUS,BEL,Fishing,1.9541289614309862e-07
AUS,BEL,Mining and Quarrying,6.595407043284411e-05
AUS,BEL,Food & Beverages,0.0003585554862304778
AUS,BEL,Textiles and Wearing Apparel,2.660848955271648e-05
AUS,BEL,Wood and Paper,0.00011748136817237138
AUS,BEL,"Petroleum, Chemical and Non-Metallic Mineral Products",0.000679411925752932
AUS,BEL,Metal Products,0.0005441104316346373
AUS,BEL,Electrical and Machinery,0.0005034813130595436
AUS,BEL,Transport Equipment,8.076770902742676e-05
AUS,BEL,Other Manufacturing,0.000244312353587691
AUS,BEL,Recycling,1.412791873303373e-05
AUS,BEL,"Electricity, Gas and Water",1.2403013335978826e-05
AUS,BEL,Construction,4.9650898997345365e-05
AUS,BEL,Maintenance and Repair,0.0004427270864889543
AUS,BEL,Wholesale Trade,1.271431290954741e-07
AUS,BEL,Retail Trade,0.002676098671887447
AUS,BEL,Hotels and Restraurants,0.0001500687039512629
AUS,BEL,Transport,0.0002470484069151542
AUS,BEL,Post and Telecommunications,0.00011135066119047583
AUS,BEL,Finacial Intermediation and Business Activities,0.00016423765302799547
AUS,BEL,Public Administration,1.0962596432938265e-08
AUS,BEL,"Education, Health and Other Services",0.00016088470293424453
AUS,BEL,Private Households,8.691446222447439e-07
AUS,BEL,Others,3.039167872875359e-06
AUS,BRA,Agriculture,0.0003226990291047663
AUS,BRA,Fishing,2.8239254073720753e-07
AUS,BRA,Mining and Quarrying,0.0002050242226815167
AUS,BRA,Food & Beverages,0.00046169310454168537
AUS,BRA,Textiles and Wearing Apparel,0.0003713800515794707
AUS,BRA,Wood and Paper,3.0274194864139346e-05
AUS,BRA,"Petroleum, Chemical and Non-Metallic Mineral Products",0.00010338080051480566
AUS,BRA,Metal Products,0.0022610046779913736
AUS,BRA,Electrical and Machinery,0.0003942098393851229
AUS,BRA,Transport Equipment,2.4168400897663593e-05
AUS,BRA,Other Manufacturing,6.47402192285461e-05
AUS,BRA,Recycling,2.1422850542334777e-05
AUS,BRA,"Electricity, Gas and Water",5.138073655560716e-06
AUS,BRA,Construction,8.722315511822393e-05
AUS,BRA,Maintenance and Repair,0.0012420354905524156
AUS,BRA,Wholesale Trade,0.003576708833617191
AUS,BRA,Retail Trade,0.004384135185022052
AUS,BRA,Hotels and Restraurants,0.0003201086306618755
AUS,BRA,Transport,0.0004876606760478363
AUS,BRA,Post and Telecommunications,0.00021835533912119374
AUS,BRA,Finacial Intermediation and Business Activities,0.0004664260260510244
AUS,BRA,Public Administration,2.400600733583852e-05
AUS,BRA,"Education, Health and Other Services",0.0004587740886528103
AUS,BRA,Private Households,1.0715999052881604e-06
AUS,BRA,Others,4.565904561971472e-06
AUS,BGR,Agriculture,6.587292884419668e-07
AUS,BGR,Fishing,5.62246512212721e-07
AUS,BGR,Mining and Quarrying,8.526635759662404e-08
AUS,BGR,Food & Beverages,0.00045673785263834114
AUS,BGR,Textiles and Wearing Apparel,5.2323410419089536e-06
AUS,BGR,Wood and Paper,7.029655453527813e-07
AUS,BGR,"Petroleum, Chemical and Non-Metallic Mineral Products",4.4041329577012606e-07
AUS,BGR,Metal Products,3.3725814602833984e-06
AUS,BGR,Electrical and Machinery,0.00015893280004439776
AUS,BGR,Transport Equipment,1.9389236076216777e-07
AUS,BGR,Other Manufacturing,5.7583412222347165e-06
AUS,BGR,Recycling,8.044335663384664e-06
AUS,BGR,"Electricity, Gas and Water",6.278818981262315e-08
AUS,BGR,Construction,3.824237466227128e-06
AUS,BGR,Maintenance and Repair,2.6641959683415555e-05
AUS,BGR,Wholesale Trade,1.0786383235543089e-06
AUS,BGR,Retail Trade,0.00014928854507132843
AUS,BGR,Hotels and Restraurants,5.948358997443682e-06
AUS,BGR,Transport,3.174092071647303e-06
AUS,BGR,Post and Telecommunications,3.019127978028352e-06
AUS,BGR,Finacial Intermediation and Business Activities,7.3596848498224604e-09
AUS,BGR,Public Administration,8.208197901839161e-08
AUS,BGR,"Education, Health and Other Services",9.793394710219822e-06
AUS,BGR,Private Households,1.8192742218463872e-06
AUS,BGR,Others,9.776177330989818e-06
AUS,CAN,Agriculture,0.0005571576350967707
AUS,CAN,Fishing,0.0002958848422011746
AUS,CAN,Mining and Quarrying,0.0020173142890074834
AUS,CAN,Food & Beverages,0.0006138678620400472
AUS,CAN,Textiles and Wearing Apparel,8.321571576111922e-05
AUS,CAN,Wood and Paper,0.0005944299483119791
AUS,CAN,"Petroleum, Chemical and Non-Metallic Mineral Products",0.0007150023683963501
AUS,CAN,Metal Products,0.001258998924804558
AUS,CAN,Electrical and Machinery,0.002675033898712199
AUS,CAN,Transport Equipment,0.0006143006551283834
AUS,CAN,Other Manufacturing,0.0005918163934787184
AUS,CAN,Recycling,0.028428230163844246
AUS,CAN,"Electricity, Gas and Water",2.2299946391023123e-05
AUS,CAN,Construction,0.000124239126428975
AUS,CAN,Maintenance and Repair,0.001294302093206278
AUS,CAN,Wholesale Trade,0.003727226494574672
AUS,CAN,Retail Trade,0.004568625320273465
AUS,CAN,Hotels and Restraurants,0.00039567247615991273
AUS,CAN,Transport,7.301982327937004e-05
AUS,CAN,Post and Telecommunications,6.919412361834664e-05
AUS,CAN,Finacial Intermediation and Business Activities,0.0004526356607422036
AUS,CAN,Public Administration,1.3310453890634528e-08
AUS,CAN,"Education, Health and Other Services",0.0002444417358360676
AUS,CAN,Private Households,4.252334261585574e-10
AUS,CAN,Others,4.230128491087205e-06
AUS,CHN,Agriculture,0.00254409962550153
AUS,CHN,Fishing,0.003035491830160695
AUS,CHN,Mining and Quarrying,0.003720184860204508
AUS,CHN,Food & Beverages,0.002948152792400698
AUS,CHN,Textiles and Wearing Apparel,0.018906312869528933
AUS,CHN,Wood and Paper,0.03747384439836848
