,Agriculture,Fishing,Mining and Quarrying,Food & Beverages,Textiles and Wearing Apparel,Wood and Paper,"Petroleum, Chemical and Non-Metallic Mineral Products",Metal Products,Electrical and Machinery,Transport Equipment,Other Manufacturing,Recycling,"Electricity, Gas and Water",Construction,Maintenance and Repair,Wholesale Trade,Retail Trade,Hotels and Restraurants,Transport,Post and Telecommunications,Finacial Intermediation and Business Activities,Public Administration,"Education, Health and Other Services",Private Households,Others
AUS_Agriculture,0.14471972633015728,0.0003472844074058183,0.004031386714815774,0.03512683294355607,0.001450915485616347,0.006955127777160585,0.05209690635005941,0.002346014188259419,0.0035176496869218847,0.0007549867865737389,0.00015985097474764096,0.00011935062792627944,0.0055664314906390434,0.00020488103485417656,0.0010505750034966478,0.036447442498563014,0.011389080030142133,0.007931298658981538,0.029619618820412273,0.011187679988554139,0.07478523297149445,0.002047115689152859,0.011405479998894786,9.670275298944677e-05,0.0009165780502840767
AUS_Fishing,0.01172208058647975,0.0019108161743247852,0.006346422085879797,0.04841601394367308,0.009599668243427027,0.016892352267420935,0.05110794671830962,0.024429438530231603,0.038174621501133994,0.013560282838946553,0.0009100415052142709,0.0002689882017964832,0.004350105198794383,0.0009538125603972074,0.00246301493614327,0.08763306900411624,0.021714435972742863,0.01239114107149152,0.029164243133738596,0.010840925064076173,0.07595726661700603,0.006539072174255336,0.011090473680575199,0.00024055710794031106,0.0025011630871789206
AUS_Mining and Quarrying,0.0008031212984428945,0.0008694097093984855,0.050642517520051125,0.0013689395372638439,0.0010619201407721269,0.009010566305595602,0.05063273526471012,0.020962096628436434,0.01765104372143331,0.0030314225206807288,0.005802630905381896,4.05712193935991e-05,0.023034621722779012,0.0017062572998090078,0.0010168594889879542,0.0375385452203475,0.010883908506727569,0.009449954844352694,0.0569896823652336,0.009052677555407397,0.1474959993388013,0.005001916246605894,0.007266892519173126,5.287719241667751e-05,0.0010567814089829726
AUS_Food & Beverages,0.21855117638371463,0.008900542669672464,0.011944529253686168,0.12368663866958456,0.0036646406362704927,0.03825012699100462,0.016005942730500735,0.00963877420529231,0.002283754575540303,0.00015030662525285354,0.00044931055509470893,8.970773102977506e-05,0.01759747034201712,0.00018866116097494593,0.005981935223652785,0.09153485871068784,0.021727897101294226,0.020451093327441935,0.06683803271680448,0.01306391673875146,0.0784707905863845,0.003541454717272596,0.018020871467875007,4.16678192079778e-05,0.0019101896710036273
AUS_Textiles and Wearing Apparel,0.08984580703635034,0.0004891052438644498,0.0026612769443225145,0.013168461043195048,0.11136112671878949,0.010784110529748949,0.022292652187673,0.006802090700797756,0.0024510920950954673,0.00011267989113298798,0.0007797616406155809,0.00039556896536782654,0.010589634158251673,8.537987866693783e-05,0.002432863817817062,0.09377168188165427,0.02731537022441958,0.013856045534524457,0.04842830853498725,0.019739182959419576,0.11491578933947202,0.008434026638137054,0.022909951764963802,6.424064705374051e-05,0.0006011739880284879
AUS_Wood and Paper,0.03390535550868885,5.006750930317714e-05,0.0030926445906810096,0.0006021100920981075,0.008352827939131289,0.08938368550416995,0.041896464604689404,0.00876246296371241,0.003419076086976534,0.00019089227231815415,0.00026818909979685503,7.350775461259641e-05,0.017538479043506288,0.00011242070821691531,0.0017723794204404536,0.05523675955103146,0.02879387400395317,0.016388139800670547,0.07062652670535013,0.02425809647736105,0.13078336630660356,0.009568395455138615,0.013826539932003834,7.062271554882866e-05,0.000926630274331725
"AUS_Petroleum, Chemical and Non-Metallic Mineral Products",0.007829371085561754,0.006253903718087261,0.22796197192103995,0.003648658197720063,0.003907114318740867,0.026919674099168404,0.15683098650344554,0.01560140577893349,0.002453660956234012,0.0005326043920134038,0.0009048667679286444,0.00010236160630012633,0.023033239939947815,6.997153155203039e-05,0.001751885091835143,0.05513746285353666,0.02804569542404186,0.01583408764132837,0.06102520059431455,0.016943115169756776,0.10945502669450272,0.006494945788477066,0.01647691476720957,0.0001607400642177541,0.0012850976014005641
AUS_Metal Products,0.00010075676068103094,0.003955805305147182,0.1652871594036354,0.00017478403698086988,0.0025122829217040818,0.008354006902419315,0.02380216379213331,0.3342177172339214,0.0031145820180464466,0.0005175913357487844,0.00121681081438644,0.00015870485264216555,0.02375795179854041,2.6629020918504364e-05,0.0011398759954566672,0.043659337817500504,0.01319295804077243,0.007798650120492368,0.03876761409768908,0.008656184302623658,0.08069719571123872,0.0023604660387045407,0.006075603575850373,2.251144956480317e-05,0.0006459142937027986
AUS_Electrical and Machinery,0.0003165236397470517,0.0035653221623249947,0.005060651019099443,0.0005878512814120717,0.0024617146718733827,0.012534472929912166,0.04133636542842092,0.22392049977636408,0.1151078484116179,0.002981988397953988,0.0004957224697074318,0.00019298021081086094,0.01505327394584936,9.015058149357232e-05,0.0031950123401012897,0.12184199461762131,0.036729776842395895,0.012210448722917143,0.03062813953103542,0.027167837996381904,0.0975100042441332,0.0034928369562299195,0.010362320461055374,6.873210149355754e-05,0.0007885955312122094
AUS_Transport Equipment,4.2792324089655475e-05,2.5025900711292597e-05,0.0015445120129959223,0.0007620940963707001,0.0028905780911690788,0.007084410573706087,0.04045671716667714,0.11155782315026824,0.024521793695101077,0.18698337606709384,0.002230829062279165,7.862384153606122e-05,0.01116562077022645,2.9160168184649342e-05,0.0020561039020549044,0.07953387001587928,0.024213349227053076,0.009628811212334032,0.022844556044750036,0.015353461218453698,0.11631599859143141,0.01185122406653991,0.014325549674765639,8.25043395091623e-05,0.002226285866639887
AUS_Other Manufacturing,0.0024445930418160824,0.004237193491583684,0.005583398958295149,0.0015810410370966667,0.012745454743373451,0.10150779554571614,0.05468758063299478,0.12723356928309223,0.005581648004374822,0.007831487470930413,0.006337126896877551,0.00013725186084977454,0.006618768834111367,6.205042986599908e-05,0.0024342383164424326,0.08782368043588301,0.03163641616503655,0.008388148178009446,0.028223496509437916,0.018200828509125317,0.06242184083839092,0.0018659080401113898,0.005189710744526367,4.3636573740524024e-05,0.0003256351841017585
AUS_Recycling,0.0021166391570505354,0.022367401821580167,0.021941668466868635,0.0011176222845779935,0.010484894224164942,0.021157494668553028,0.04822311228223418,0.11382641219265013,0.005831901024092897,0.03976253132439821,0.0008932948788676534,0.00025456615078615316,0.007851618027486726,7.795637407081001e-05,0.004416017054000033,0.18221217376193588,0.043599453012649954,0.010860180971419912,0.026847574638763874,0.018343407759617895,0.060515434556714334,0.00101706327042097,0.0017944087619835166,3.9937013749401974e-05,0.0006131858942829783
"AUS_Electricity, Gas and Water",0.00020515836445969573,2.1642639398375813e-05,0.1215590357538768,0.00023738891798486306,0.0004529932640264117,0.003922246163434735,0.023410683968234636,0.004564113715798093,0.006921943666849305,0.00011980114155246657,4.567170664633479e-05,0.0005728250696375979,0.06412870413120321,5.8340168244057334e-06,0.0005521259211705194,0.019653802837942165,0.00767608049455108,0.005629840049549413,0.01374778588078222,0.013646481017451398,0.14506268264653213,0.0028180161460480135,0.014197197696528975,1.6521895136959913e-05,0.0006185415215807695
AUS_Construction,0.0005125602512656007,3.229961147801694e-05,0.0029015081095517628,0.0004649336336193008,0.001469333505364082,0.024282483538614716,0.07040827772779928,0.0505483966892969,0.016478123354459057,0.0013234923153129393,0.002260820100711304,4.597887596079736e-05,0.0012236648082546485,4.167005806325906e-06,0.0009760191624349387,0.025450877348796478,0.01914915437877014,0.004848823018132963,0.012951583204053423,0.009857866960997426,0.2794884975277905,0.003904906539849285,0.00768225100303228,1.0401994230710785e-05,0.0013147597013322568
AUS_Maintenance and Repair,0.0009325011897199038,0.0005109697799294255,0.002037583169162814,0.00981978152100283,0.0008603983055264967,0.011496444752507296,0.004582312621092168,0.0017316947966150385,0.0009887942490146788,0.0007740398666159948,0.000240917770116425,1.7477447247500617e-05,0.0014257832378546077,0.00014813693075019086,0.00556374189896036,0.032335913899251924,0.021455879849631848,0.004555886906573811,0.021040749719901115,0.016203261506996715,0.09125724633632487,0.0008485348219311463,0.004820093243708877,1.2180745060933145e-05,0.000729512331361899
AUS_Wholesale Trade,0.0001625682699199134,8.982220922474706e-06,0.003761985062037774,0.0008049643649625759,0.0007709513417304691,0.010287311427438587,0.006957361068365086,0.0024224323155382726,0.0016539540500597064,0.000748916238006518,0.00032221126374148203,1.8073746272814078e-05,0.0016522235801538086,0.00035221926146523187,0.01247505444479428,0.06919286302347104,0.026658592521597725,0.006785674711796531,0.043434972420751,0.01620882999969099,0.11799282145072634,0.000523714429253697,0.004976606798924156,1.3841180359128145e-05,0.0008317640873422637
AUS_Retail Trade,0.0012669405448342314,0.0007432043410648114,0.000682250316075331,0.013895460109654041,0.0007893636802251623,0.010541921608189196,0.0024511512568242263,0.0010530075552866018,0.00043535355305316607,0.0006752656425259761,0.0001555784766115231,1.4535087110332086e-05,0.0010767203817170171,1.0436651708942012e-06,0.0005022789382381008,0.00497762544098694,0.015103302762813903,0.0025180205085716953,0.004215002272201616,0.013813408502726415,0.061413971890271896,0.0009233661080761071,0.004013212453056897,9.368627227152406e-06,0.0005593032910658844
AUS_Hotels and Restraurants,0.011503755751276455,0.0119416772818167,0.007202042256683621,0.13328075493958347,0.006352934468609642,0.015682144749825457,0.014722629460354759,0.003369066820072096,0.005263796971932582,0.0006001318268759118,0.002507871663220274,0.0002384510385335676,0.006008049755007441,5.396955611203413e-06,0.0014601633436472576,0.027426844092906036,0.03561911782768224,0.003679922920191304,0.012105857126251897,0.029185651189979525,0.15067451353813774,0.001953869168343279,0.030582034539033295,0.0002196526267036309,0.002095946735026795
AUS_Transport,0.0004661459720386121,1.4931814155403647e-05,0.0004323069568786746,0.000778458474390651,0.0020104747854964924,0.009322453884932391,0.05136063580719331,0.002646657077858438,0.005035117766646439,0.024931406188315207,0.0003887872946460482,3.7634272625341484e-05,0.015092928404721255,0.0005505120318297068,0.007365677985825532,0.07423624689223904,0.028405268631592498,0.019380017723594812,0.10879511115189856,0.0293470730303435,0.22226907380492616,0.01285340933606909,0.014463629117976712,7.53672931105488e-05,0.00745727170391406
AUS_Post and Telecommunications,0.0002718207345593553,8.282604274878438e-06,0.0012106968858239823,0.0026976875857279707,0.0027361749132800246,0.029407030668571078,0.013232837016621368,0.0092180910142585,0.036048782075516504,0.001774555250895549,0.0010235152874283045,6.98583166380914e-05,0.009061547924276834,0.00026810243089148063,0.010084674324832295,0.0953333578827649,0.03452156808681423,0.02019058154956277,0.03530155379554043,0.03608651118010453,0.1910442516254645,0.009907494788983406,0.011168104272792797,5.6072965801131996e-05,0.004716300907942557
AUS_Finacial Intermediation and Business Activities,0.0006638695341719003,2.253772821945394e-05,0.0005132830750448062,0.0011381824269560432,0.0008073649560367257,0.009946359757069888,0.01587853317507789,0.005630385928352256,0.008446861180895974,0.005956895105385622,0.00048405269214773925,4.2861626295107554e-05,0.005695020879293836,3.971917862624143e-05,0.0015076389489479035,0.020983239264177125,0.009251988380154084,0.01027928905763117,0.014048189701160028,0.026251392686181492,0.3046948413076052,0.005489038056294645,0.022798964064592742,4.421091494914816e-05,0.0015755623844960795
AUS_Public Administration,0.0014658710335295143,3.8529386117785e-05,0.0010806785909807735,0.00463538149643298,0.004513760492117495,0.02934844873982103,0.01840901016796559,0.0027435433532307578,0.008155987096560926,0.017379709333116587,0.004272478994611919,7.388724430596843e-05,0.007783836865994837,0.0002450196986958904,0.008129129673201528,0.05490947569441634,0.017323234637722562,0.01826819906614028,0.04385451658413178,0.05288693658152031,0.20670703808275592,0.03505534048552192,0.02269175863145382,0.00015288344225185233,0.0011512495312076185
"AUS_Education, Health and Other Services",0.004550508683921101,0.00010216796365011729,0.0013372980221615116,0.007736055220320899,0.003826930680685425,0.019625313961839395,0.01717656632011629,0.005313049322325964,0.01576083934615901,0.0005664624019428758,0.0025227572861946635,0.00011897685847005625,0.011449330795241458,1.5361836661989544e-05,0.0010399986612337885,0.028277633380127988,0.019554262777019795,0.008895956710396396,0.015405993642205164,0.033380339908352104,0.11441212736324796,0.008898255351045454,0.042458331529361605,2.323550008174177e-05,0.0017871740441111569
AUS_Private Households,0.0030474031802539625,0.00032561519319416777,0.002051231991144761,0.013093117089575362,0.0074346865586194105,0.019968594093952203,0.014394848005322146,0.0030039916308188717,0.007885224831929702,0.0011861373983643021,0.0008990427738836246,6.90397297835214e-05,0.009973302670246435,6.413290935187194e-05,0.0010367453509666186,0.026957701005486324,0.015965771000255133,0.016601278487284956,0.018687368259065112,0.0438926434409782,0.1124331076858035,0.0033507116474183357,0.030654173667620358,5.0637093902961846e-05,0.00022644793381460445
AUS_Others,0.0001851035160720705,1.5688267211286914e-05,0.001278170959042861,0.0017427956239437306,0.0026823061933561616,0.011322755346496191,0.009693826102524724,0.008323926906889935,0.017557308877055203,2.7609745660714868e-05,0.0004820599205232166,5.978483884198455e-05,0.002147163886053956,0.0008853499152590136,0.02970914772941619,0.1703059659362599,0.051814327065389625,0.012647231666134868,0.012612349708452028,0.02118319880346201,0.17331668142560877,0.011802533823389609,0.011637662923155063,9.875234390191363e-05,0.0009667167460136472
AUT_Agriculture,0.06622191740586993,1.5177089559184207e-05,0.0004015714242619917,0.021097235404888445,0.0005287622090537816,0.002248935061029387,0.011221049974635208,0.00228444891356545,0.004096186271108955,0.00012247831545289772,0.0002517775916721145,4.9434151742825305e-06,0.0038158986958910126,0.005215498456696667,0.002161257987405883,0.015361256175597795,0.010329720134752918,0.0003255599290767024,0.002556824855039798,0.001497479184458348,0.007268483032587163,0.000161215351127817,0.00905786544186521,1.555242947142987e-06,3.1307472586359996e-05
