,Country,Sector
0,AUS,Agriculture
1,AUS,Fishing
2,AUS,Mining and Quarrying
3,AUS,Food & Beverages
4,AUS,Textiles and Wearing Apparel
5,AUS,Wood and Paper
6,AUS,"Petroleum, Chemical and Non-Metallic Mineral Products"
7,AUS,Metal Products
8,AUS,Electrical and Machinery
9,AUS,Transport Equipment
10,AUS,Other Manufacturing
11,AUS,Recycling
12,AUS,"Electricity, Gas and Water"
13,AUS,Construction
14,AUS,Maintenance and Repair
15,AUS,Wholesale Trade
16,AUS,Retail Trade
17,AUS,Hotels and Restraurants
18,AUS,Transport
19,AUS,Post and Telecommunications
20,AUS,Finacial Intermediation and Business Activities
21,AUS,Public Administration
22,AUS,"Education, Health and Other Services"
23,AUS,Private Households
24,AUS,Others
25,AUT,Agriculture
26,AUT,Fishing
27,AUT,Mining and Quarrying
28,AUT,Food & Beverages
29,AUT,Textiles and Wearing Apparel
30,AUT,Wood and Paper
31,AUT,"Petroleum, Chemical and Non-Metallic Mineral Products"
32,AUT,Metal Products
33,AUT,Electrical and Machinery
34,AUT,Transport Equipment
35,AUT,Other Manufacturing
36,AUT,Recycling
37,AUT,"Electricity, Gas and Water"
38,AUT,Construction
39,AUT,Maintenance and Repair
40,AUT,Wholesale Trade
41,AUT,Retail Trade
42,AUT,Hotels and Restraurants
43,AUT,Transport
44,AUT,Post and Telecommunications
45,AUT,Finacial Intermediation and Business Activities
46,AUT,Public Administration
47,AUT,"Education, Health and Other Services"
48,AUT,Private Households
49,AUT,Others
50,BEL,Agriculture
51,BEL,Fishing
52,BEL,Mining and Quarrying
53,BEL,Food & Beverages
54,BEL,Textiles and Wearing Apparel
55,BEL,Wood and Paper
56,BEL,"Petroleum, Chemical and Non-Metallic Mineral Products"
57,BEL,Metal Products
58,BEL,Electrical and Machinery
59,BEL,Transport Equipment
60,BEL,Other Manufacturing
61,BEL,Recycling
62,BEL,"Electricity, Gas and Water"
63,BEL,Construction
64,BEL,Maintenance and Repair
65,BEL,Wholesale Trade
66,BEL,Retail Trade
67,BEL,Hotels and Restraurants
68,BEL,Transport
69,BEL,Post and Telecommunications
70,BEL,Finacial Intermediation and Business Activities
71,BEL,Public Administration
72,BEL,"Education, Health and Other Services"
73,BEL,Private Households
74,BEL,Others
75,BRA,Agriculture
76,BRA,Fishing
77,BRA,Mining and Quarrying
78,BRA,Food & Beverages
79,BRA,Textiles and Wearing Apparel
80,BRA,Wood and Paper
81,BRA,"Petroleum, Chemical and Non-Metallic Mineral Products"
82,BRA,Metal Products
83,BRA,Electrical and Machinery
84,BRA,Transport Equipment
85,BRA,Other Manufacturing
86,BRA,Recycling
87,BRA,"Electricity, Gas and Water"
88,BRA,Construction
89,BRA,Maintenance and Repair
90,BRA,Wholesale Trade
91,BRA,Retail Trade
92,BRA,Hotels and Restraurants
93,BRA,Transport
94,BRA,Post and Telecommunications
95,BRA,Finacial Intermediation and Business Activities
96,BRA,Public Administration
97,BRA,"Education, Health and Other Services"
98,BRA,Private Households
99,BRA,Others
100,BGR,Agriculture
101,BGR,Fishing
102,BGR,Mining and Quarrying
103,BGR,Food & Beverages
104,BGR,Textiles and Wearing Apparel
105,BGR,Wood and Paper
106,BGR,"Petroleum, Chemical and Non-Metallic Mineral Products"
107,BGR,Metal Products
108,BGR,Electrical and Machinery
109,BGR,Transport Equipment
110,BGR,Other Manufacturing
111,BGR,Recycling
112,BGR,"Electricity, Gas and Water"
113,BGR,Construction
114,BGR,Maintenance and Repair
115,BGR,Wholesale Trade
116,BGR,Retail Trade
117,BGR,Hotels and Restraurants
118,BGR,Transport
119,BGR,Post and Telecommunications
120,BGR,Finacial Intermediation and Business Activities
121,BGR,Public Administration
122,BGR,"Education, Health and Other Services"
123,BGR,Private Households
124,BGR,Others
125,CAN,Agriculture
126,CAN,Fishing
127,CAN,Mining and Quarrying
128,CAN,Food & Beverages
129,CAN,Textiles and Wearing Apparel
130,CAN,Wood and Paper
131,CAN,"Petroleum, Chemical and Non-Metallic Mineral Products"
132,CAN,Metal Products
133,CAN,Electrical and Machinery
134,CAN,Transport Equipment
135,CAN,Other Manufacturing
136,CAN,Recycling
137,CAN,"Electricity, Gas and Water"
138,CAN,Construction
139,CAN,Maintenance and Repair
140,CAN,Wholesale Trade
141,CAN,Retail Trade
142,CAN,Hotels and Restraurants
143,CAN,Transport
144,CAN,Post and Telecommunications
145,CAN,Finacial Intermediation and Business Activities
146,CAN,Public Administration
147,CAN,"Education, Health and Other Services"
148,CAN,Private Households
149,CAN,Others
150,CHN,Agriculture
151,CHN,Fishing
152,CHN,Mining and Quarrying
153,CHN,Food & Beverages
154,CHN,Textiles and Wearing Apparel
155,CHN,Wood and Paper
156,CHN,"Petroleum, Chemical and Non-Metallic Mineral Products"
157,CHN,Metal Products
158,CHN,Electrical and Machinery
159,CHN,Transport Equipment
160,CHN,Other Manufacturing
161,CHN,Recycling
162,CHN,"Electricity, Gas and Water"
163,CHN,Construction
164,CHN,Maintenance and Repair
165,CHN,Wholesale Trade
166,CHN,Retail Trade
167,CHN,Hotels and Restraurants
168,CHN,Transport
169,CHN,Post and Telecommunications
170,CHN,Finacial Intermediation and Business Activities
171,CHN,Public Administration
172,CHN,"Education, Health and Other Services"
173,CHN,Private Households
174,CHN,Others
175,CZE,Agriculture
176,CZE,Fishing
177,CZE,Mining and Quarrying
178,CZE,Food & Beverages
179,CZE,Textiles and Wearing Apparel
180,CZE,Wood and Paper
181,CZE,"Petroleum, Chemical and Non-Metallic Mineral Products"
182,CZE,Metal Products
183,CZE,Electrical and Machinery
184,CZE,Transport Equipment
185,CZE,Other Manufacturing
186,CZE,Recycling
187,CZE,"Electricity, Gas and Water"
188,CZE,Construction
189,CZE,Maintenance and Repair
190,CZE,Wholesale Trade
191,CZE,Retail Trade
192,CZE,Hotels and Restraurants
193,CZE,Transport
194,CZE,Post and Telecommunications
195,CZE,Finacial Intermediation and Business Activities
196,CZE,Public Administration
197,CZE,"Education, Health and Other Services"
198,CZE,Private Households
199,CZE,Others
200,DNK,Agriculture
201,DNK,Fishing
202,DNK,Mining and Quarrying
203,DNK,Food & Beverages
204,DNK,Textiles and Wearing Apparel
205,DNK,Wood and Paper
206,DNK,"Petroleum, Chemical and Non-Metallic Mineral Products"
207,DNK,Metal Products
208,DNK,Electrical and Machinery
209,DNK,Transport Equipment
210,DNK,Other Manufacturing
211,DNK,Recycling
212,DNK,"Electricity, Gas and Water"
213,DNK,Construction
214,DNK,Maintenance and Repair
215,DNK,Wholesale Trade
216,DNK,Retail Trade
217,DNK,Hotels and Restraurants
218,DNK,Transport
219,DNK,Post and Telecommunications
220,DNK,Finacial Intermediation and Business Activities
221,DNK,Public Administration
222,DNK,"Education, Health and Other Services"
223,DNK,Private Households
224,DNK,Others
225,EST,Agriculture
226,EST,Fishing
227,EST,Mining and Quarrying
228,EST,Food & Beverages
229,EST,Textiles and Wearing Apparel
230,EST,Wood and Paper
231,EST,"Petroleum, Chemical and Non-Metallic Mineral Products"
232,EST,Metal Products
233,EST,Electrical and Machinery
234,EST,Transport Equipment
235,EST,Other Manufacturing
236,EST,Recycling
237,EST,"Electricity, Gas and Water"
238,EST,Construction
239,EST,Maintenance and Repair
240,EST,Wholesale Trade
241,EST,Retail Trade
242,EST,Hotels and Restraurants
243,EST,Transport
244,EST,Post and Telecommunications
245,EST,Finacial Intermediation and Business Activities
246,EST,Public Administration
247,EST,"Education, Health and Other Services"
248,EST,Private Households
249,EST,Others
250,FIN,Agriculture
251,FIN,Fishing
252,FIN,Mining and Quarrying
253,FIN,Food & Beverages
254,FIN,Textiles and Wearing Apparel
255,FIN,Wood and Paper
256,FIN,"Petroleum, Chemical and Non-Metallic Mineral Products"
257,FIN,Metal Products
258,FIN,Electrical and Machinery
259,FIN,Transport Equipment
260,FIN,Other Manufacturing
261,FIN,Recycling
262,FIN,"Electricity, Gas and Water"
263,FIN,Construction
264,FIN,Maintenance and Repair
265,FIN,Wholesale Trade
266,FIN,Retail Trade
267,FIN,Hotels and Restraurants
268,FIN,Transport
269,FIN,Post and Telecommunications
270,FIN,Finacial Intermediation and Business Activities
271,FIN,Public Administration
272,FIN,"Education, Health and Other Services"
273,FIN,Private Households
274,FIN,Others
275,FRA,Agriculture
276,FRA,Fishing
277,FRA,Mining and Quarrying
278,FRA,Food & Beverages
279,FRA,Textiles and Wearing Apparel
280,FRA,Wood and Paper
281,FRA,"Petroleum, Chemical and Non-Metallic Mineral Products"
282,FRA,Metal Products
283,FRA,Electrical and Machinery
284,FRA,Transport Equipment
285,FRA,Other Manufacturing
286,FRA,Recycling
287,FRA,"Electricity, Gas and Water"
288,FRA,Construction
289,FRA,Maintenance and Repair
290,FRA,Wholesale Trade
291,FRA,Retail Trade
292,FRA,Hotels and Restraurants
293,FRA,Transport
294,FRA,Post and Telecommunications
295,FRA,Finacial Intermediation and Business Activities
296,FRA,Public Administration
297,FRA,"Education, Health and Other Services"
298,FRA,Private Households
299,FRA,Others
300,DEU,Agriculture
301,DEU,Fishing
302,DEU,Mining and Quarrying
303,DEU,Food & Beverages
304,DEU,Textiles and Wearing Apparel
305,DEU,Wood and Paper
306,DEU,"Petroleum, Chemical and Non-Metallic Mineral Products"
307,DEU,Metal Products
308,DEU,Electrical and Machinery
309,DEU,Transport Equipment
310,DEU,Other Manufacturing
311,DEU,Recycling
312,DEU,"Electricity, Gas and Water"
313,DEU,Construction
314,DEU,Maintenance and Repair
315,DEU,Wholesale Trade
316,DEU,Retail Trade
317,DEU,Hotels and Restraurants
318,DEU,Transport
319,DEU,Post and Telecommunications
320,DEU,Finacial Intermediation and Business Activities
321,DEU,Public Administration
322,DEU,"Education, Health and Other Services"
323,DEU,Private Households
324,DEU,Others
325,GRC,Agriculture
326,GRC,Fishing
327,GRC,Mining and Quarrying
328,GRC,Food & Beverages
329,GRC,Textiles and Wearing Apparel
330,GRC,Wood and Paper
331,GRC,"Petroleum, Chemical and Non-Metallic Mineral Products"
332,GRC,Metal Products
333,GRC,Electrical and Machinery
334,GRC,Transport Equipment
335,GRC,Other Manufacturing
336,GRC,Recycling
337,GRC,"Electricity, Gas and Water"
338,GRC,Construction
339,GRC,Maintenance and Repair
340,GRC,Wholesale Trade
341,GRC,Retail Trade
342,GRC,Hotels and Restraurants
343,GRC,Transport
344,GRC,Post and Telecommunications
345,GRC,Finacial Intermediation and Business Activities
346,GRC,Public Administration
347,GRC,"Education, Health and Other Services"
348,GRC,Private Households
349,GRC,Others
350,HUN,Agriculture
351,HUN,Fishing
352,HUN,Mining and Quarrying
353,HUN,Food & Beverages
354,HUN,Textiles and Wearing Apparel
355,HUN,Wood and Paper
356,HUN,"Petroleum, Chemical and Non-Metallic Mineral Products"
357,HUN,Metal Products
358,HUN,Electrical and Machinery
359,HUN,Transport Equipment
360,HUN,Other Manufacturing
361,HUN,Recycling
362,HUN,"Electricity, Gas and Water"
363,HUN,Construction
364,HUN,Maintenance and Repair
365,HUN,Wholesale Trade
366,HUN,Retail Trade
367,HUN,Hotels and Restraurants
368,HUN,Transport
369,HUN,Post and Telecommunications
370,HUN,Finacial Intermediation and Business Activities
371,HUN,Public Administration
372,HUN,"Education, Health and Other Services"
373,HUN,Private Households
374,HUN,Others
375,IND,Agriculture
376,IND,Fishing
377,IND,Mining and Quarrying
378,IND,Food & Beverages
379,IND,Textiles and Wearing Apparel
380,IND,Wood and Paper
381,IND,"Petroleum, Chemical and Non-Metallic Mineral Products"
382,IND,Metal Products
383,IND,Electrical and Machinery
384,IND,Transport Equipment
385,IND,Other Manufacturing
386,IND,Recycling
387,IND,"Electricity, Gas and Water"
388,IND,Construction
389,IND,Maintenance and Repair
390,IND,Wholesale Trade
391,IND,Retail Trade
392,IND,Hotels and Restraurants
393,IND,Transport
394,IND,Post and Telecommunications
395,IND,Finacial Intermediation and Business Activities
396,IND,Public Administration
397,IND,"Education, Health and Other Services"
398,IND,Private Households
399,IND,Others
400,IRL,Agriculture
401,IRL,Fishing
402,IRL,Mining and Quarrying
403,IRL,Food & Beverages
404,IRL,Textiles and Wearing Apparel
405,IRL,Wood and Paper
406,IRL,"Petroleum, Chemical and Non-Metallic Mineral Products"
407,IRL,Metal Products
408,IRL,Electrical and Machinery
409,IRL,Transport Equipment
410,IRL,Other Manufacturing
411,IRL,Recycling
412,IRL,"Electricity, Gas and Water"
413,IRL,Construction
414,IRL,Maintenance and Repair
415,IRL,Wholesale Trade
416,IRL,Retail Trade
417,IRL,Hotels and Restraurants
418,IRL,Transport
419,IRL,Post and Telecommunications
420,IRL,Finacial Intermediation and Business Activities
421,IRL,Public Administration
422,IRL,"Education, Health and Other Services"
423,IRL,Private Households
424,IRL,Others
425,ITA,Agriculture
426,ITA,Fishing
427,ITA,Mining and Quarrying
428,ITA,Food & Beverages
429,ITA,Textiles and Wearing Apparel
430,ITA,Wood and Paper
431,ITA,"Petroleum, Chemical and Non-Metallic Mineral Products"
432,ITA,Metal Products
433,ITA,Electrical and Machinery
434,ITA,Transport Equipment
435,ITA,Other Manufacturing
436,ITA,Recycling
437,ITA,"Electricity, Gas and Water"
438,ITA,Construction
439,ITA,Maintenance and Repair
440,ITA,Wholesale Trade
441,ITA,Retail Trade
442,ITA,Hotels and Restraurants
443,ITA,Transport
444,ITA,Post and Telecommunications
445,ITA,Finacial Intermediation and Business Activities
446,ITA,Public Administration
447,ITA,"Education, Health and Other Services"
448,ITA,Private Households
449,ITA,Others
450,JPN,Agriculture
451,JPN,Fishing
452,JPN,Mining and Quarrying
453,JPN,Food & Beverages
454,JPN,Textiles and Wearing Apparel
455,JPN,Wood and Paper
456,JPN,"Petroleum, Chemical and Non-Metallic Mineral Products"
457,JPN,Metal Products
458,JPN,Electrical and Machinery
459,JPN,Transport Equipment
460,JPN,Other Manufacturing
461,JPN,Recycling
462,JPN,"Electricity, Gas and Water"
463,JPN,Construction
464,JPN,Maintenance and Repair
465,JPN,Wholesale Trade
466,JPN,Retail Trade
467,JPN,Hotels and Restraurants
468,JPN,Transport
469,JPN,Post and Telecommunications
470,JPN,Finacial Intermediation and Business Activities
471,JPN,Public Administration
472,JPN,"Education, Health and Other Services"
473,JPN,Private Households
474,JPN,Others
475,LTU,Agriculture
476,LTU,Fishing
477,LTU,Mining and Quarrying
478,LTU,Food & Beverages
479,LTU,Textiles and Wearing Apparel
480,LTU,Wood and Paper
481,LTU,"Petroleum, Chemical and Non-Metallic Mineral Products"
482,LTU,Metal Products
483,LTU,Electrical and Machinery
484,LTU,Transport Equipment
485,LTU,Other Manufacturing
486,LTU,Recycling
487,LTU,"Electricity, Gas and Water"
