,Importer,Exporter,Sector,tariff,mfn,tariff95,mfn95
0,AUS,AUS,Agriculture,0.0,0.0,0.0,0.0
1,AUS,AUS,Fishing,0.0,0.0,0.0,0.0
2,AUS,AUS,Mining and Quarrying,0.0,0.0,0.0,0.0
3,AUS,AUS,Food & Beverages,0.0,0.0,0.0,0.0
4,AUS,AUS,Textiles and Wearing Apparel,0.0,0.0,0.0,0.0
5,AUS,AUS,Wood and Paper,0.0,0.0,0.0,0.0
6,AUS,AUS,"Petroleum, Chemical and Non-Metallic Mineral Products",0.0,0.0,0.0,0.0
7,AUS,AUS,Metal Products,0.0,0.0,0.0,0.0
8,AUS,AUS,Electrical and Machinery,0.0,0.0,0.0,0.0
9,AUS,AUS,Transport Equipment,0.0,0.0,0.0,0.0
10,AUS,AUS,Other Manufacturing,0.0,0.0,0.0,0.0
11,AUS,AUS,Recycling,0.0,0.0,0.0,0.0
12,AUS,AUS,"Electricity, Gas and Water",0.0,0.0,0.0,0.0
13,AUS,AUS,Construction,0.0,0.0,0.0,0.0
14,AUS,AUS,Maintenance and Repair,0.0,0.0,0.0,0.0
15,AUS,AUS,Wholesale Trade,0.0,0.0,0.0,0.0
16,AUS,AUS,Retail Trade,0.0,0.0,0.0,0.0
17,AUS,AUS,Hotels and Restraurants,0.0,0.0,0.0,0.0
18,AUS,AUS,Transport,0.0,0.0,0.0,0.0
19,AUS,AUS,Post and Telecommunications,0.0,0.0,0.0,0.0
20,AUS,AUS,Finacial Intermediation and Business Activities,0.0,0.0,0.0,0.0
21,AUS,AUS,Public Administration,0.0,0.0,0.0,0.0
22,AUS,AUS,"Education, Health and Other Services",0.0,0.0,0.0,0.0
23,AUS,AUS,Private Households,0.0,0.0,0.0,0.0
24,AUS,AUS,Others,0.0,0.0,0.0,0.0
25,AUS,AUT,Agriculture,0.406483325,0.406483325,0.406483325,0.406483325
26,AUS,AUT,Fishing,0.060975611,0.060975611,0.060975611,0.060975611
27,AUS,AUT,Mining and Quarrying,0.11486486199999998,0.11486486199999998,0.11486486199999998,0.11486486199999998
28,AUS,AUT,Food & Beverages,0.82836125,0.82836125,0.82836125,0.82836125
29,AUS,AUT,Textiles and Wearing Apparel,4.463709466666667,4.463709466666667,4.463709466666667,4.463709466666667
30,AUS,AUT,Wood and Paper,3.0853461,3.0853461,3.0853461,3.0853461
31,AUS,AUT,"Petroleum, Chemical and Non-Metallic Mineral Products",2.29279405,2.29279405,2.29279405,2.29279405
32,AUS,AUT,Metal Products,3.75222265,3.75222265,3.75222265,3.75222265
33,AUS,AUT,Electrical and Machinery,1.7775492071999999,1.7775492071999999,1.7775492071999999,1.7775492071999999
34,AUS,AUT,Transport Equipment,3.2858244,3.2858244,3.2858244,3.2858244
35,AUS,AUT,Other Manufacturing,2.6419578,2.6419578,2.6419578,2.6419578
36,AUS,AUT,Recycling,0.0,0.0,0.0,0.0
37,AUS,AUT,"Electricity, Gas and Water",1.6666666,1.6666666,1.6666666,1.6666666
38,AUS,AUT,Construction,0.0,0.0,0.0,0.0
39,AUS,AUT,Maintenance and Repair,0.0,0.0,0.0,0.0
40,AUS,AUT,Wholesale Trade,0.0,0.0,0.0,0.0
41,AUS,AUT,Retail Trade,0.0,0.0,0.0,0.0
42,AUS,AUT,Hotels and Restraurants,0.0,0.0,0.0,0.0
43,AUS,AUT,Transport,0.0,0.0,0.0,0.0
44,AUS,AUT,Post and Telecommunications,0.0,0.0,0.0,0.0
45,AUS,AUT,Finacial Intermediation and Business Activities,1.666,1.666,1.666,1.666
46,AUS,AUT,Public Administration,0.0,0.0,0.0,0.0
47,AUS,AUT,"Education, Health and Other Services",0.0,0.0,0.0,0.0
48,AUS,AUT,Private Households,0.0,0.0,0.0,0.0
49,AUS,AUT,Others,0.49342105,0.49342105,0.49342105,0.49342105
50,AUS,BEL,Agriculture,0.406483325,0.406483325,0.406483325,0.406483325
51,AUS,BEL,Fishing,0.060975611,0.060975611,0.060975611,0.060975611
52,AUS,BEL,Mining and Quarrying,0.11486486199999998,0.11486486199999998,0.11486486199999998,0.11486486199999998
53,AUS,BEL,Food & Beverages,0.82836125,0.82836125,0.82836125,0.82836125
54,AUS,BEL,Textiles and Wearing Apparel,4.463709466666667,4.463709466666667,4.463709466666667,4.463709466666667
55,AUS,BEL,Wood and Paper,3.0853461,3.0853461,3.0853461,3.0853461
56,AUS,BEL,"Petroleum, Chemical and Non-Metallic Mineral Products",2.29279405,2.29279405,2.29279405,2.29279405
57,AUS,BEL,Metal Products,3.75222265,3.75222265,3.75222265,3.75222265
58,AUS,BEL,Electrical and Machinery,1.7775492071999999,1.7775492071999999,1.7775492071999999,1.7775492071999999
59,AUS,BEL,Transport Equipment,3.2858244,3.2858244,3.2858244,3.2858244
60,AUS,BEL,Other Manufacturing,2.6419578,2.6419578,2.6419578,2.6419578
61,AUS,BEL,Recycling,0.0,0.0,0.0,0.0
62,AUS,BEL,"Electricity, Gas and Water",1.6666666,1.6666666,1.6666666,1.6666666
63,AUS,BEL,Construction,0.0,0.0,0.0,0.0
64,AUS,BEL,Maintenance and Repair,0.0,0.0,0.0,0.0
65,AUS,BEL,Wholesale Trade,0.0,0.0,0.0,0.0
66,AUS,BEL,Retail Trade,0.0,0.0,0.0,0.0
67,AUS,BEL,Hotels and Restraurants,0.0,0.0,0.0,0.0
68,AUS,BEL,Transport,0.0,0.0,0.0,0.0
69,AUS,BEL,Post and Telecommunications,0.0,0.0,0.0,0.0
70,AUS,BEL,Finacial Intermediation and Business Activities,1.666,1.666,1.666,1.666
71,AUS,BEL,Public Administration,0.0,0.0,0.0,0.0
72,AUS,BEL,"Education, Health and Other Services",0.0,0.0,0.0,0.0
73,AUS,BEL,Private Households,0.0,0.0,0.0,0.0
74,AUS,BEL,Others,0.49342105,0.49342105,0.49342105,0.49342105
75,AUS,BRA,Agriculture,0.008888889,0.406483325,0.008888889,0.406483325
76,AUS,BRA,Fishing,0.0,0.060975611,0.0,0.060975611
77,AUS,BRA,Mining and Quarrying,0.0,0.11486486199999998,0.0,0.11486486199999998
78,AUS,BRA,Food & Beverages,0.0337837825,0.82836125,0.0337837825,0.82836125
79,AUS,BRA,Textiles and Wearing Apparel,1.5561533066666666,4.463709466666667,1.5561533066666666,4.463709466666667
80,AUS,BRA,Wood and Paper,0.22302873,3.0853461,0.22302873,3.0853461
81,AUS,BRA,"Petroleum, Chemical and Non-Metallic Mineral Products",0.05181561875,2.29279405,0.05181561875,2.29279405
82,AUS,BRA,Metal Products,0.15347476,3.75222265,0.15347476,3.75222265
83,AUS,BRA,Electrical and Machinery,0.12847755722,1.7775492071999999,0.12847755722,1.7775492071999999
84,AUS,BRA,Transport Equipment,0.12177329299999999,3.2858244,0.12177329299999999,3.2858244
85,AUS,BRA,Other Manufacturing,0.33068782,2.6419578,0.33068782,2.6419578
86,AUS,BRA,Recycling,0.0,0.0,0.0,0.0
87,AUS,BRA,"Electricity, Gas and Water",0.0,1.6666666,0.0,1.6666666
88,AUS,BRA,Construction,0.0,0.0,0.0,0.0
89,AUS,BRA,Maintenance and Repair,0.0,0.0,0.0,0.0
90,AUS,BRA,Wholesale Trade,0.0,0.0,0.0,0.0
91,AUS,BRA,Retail Trade,0.0,0.0,0.0,0.0
92,AUS,BRA,Hotels and Restraurants,0.0,0.0,0.0,0.0
93,AUS,BRA,Transport,0.0,0.0,0.0,0.0
94,AUS,BRA,Post and Telecommunications,0.0,0.0,0.0,0.0
95,AUS,BRA,Finacial Intermediation and Business Activities,0.0,1.666,0.0,1.666
96,AUS,BRA,Public Administration,0.0,0.0,0.0,0.0
97,AUS,BRA,"Education, Health and Other Services",0.0,0.0,0.0,0.0
98,AUS,BRA,Private Households,0.0,0.0,0.0,0.0
99,AUS,BRA,Others,0.0,0.49342105,0.0,0.49342105
100,AUS,BGR,Agriculture,0.237350435,0.406483325,0.237350435,0.406483325
101,AUS,BGR,Fishing,0.0,0.060975611,0.0,0.060975611
102,AUS,BGR,Mining and Quarrying,0.09189189,0.11486486199999998,0.09189189,0.11486486199999998
103,AUS,BGR,Food & Beverages,0.60164215,0.82836125,0.60164215,0.82836125
104,AUS,BGR,Textiles and Wearing Apparel,4.2240001000000005,4.463709466666667,4.2240001000000005,4.463709466666667
105,AUS,BGR,Wood and Paper,2.3355201,3.0853461,2.3355201,3.0853461
106,AUS,BGR,"Petroleum, Chemical and Non-Metallic Mineral Products",2.0986262,2.29279405,2.0986262,2.29279405
107,AUS,BGR,Metal Products,2.7780014,3.75222265,2.7780014,3.75222265
108,AUS,BGR,Electrical and Machinery,1.6522678672000002,1.7775492071999999,1.6522678672000002,1.7775492071999999
109,AUS,BGR,Transport Equipment,3.20657575,3.2858244,3.20657575,3.2858244
110,AUS,BGR,Other Manufacturing,2.5625925,2.6419578,2.5625925,2.6419578
111,AUS,BGR,Recycling,0.0,0.0,0.0,0.0
112,AUS,BGR,"Electricity, Gas and Water",0.0,1.6666666,0.0,1.6666666
113,AUS,BGR,Construction,0.0,0.0,0.0,0.0
114,AUS,BGR,Maintenance and Repair,0.0,0.0,0.0,0.0
115,AUS,BGR,Wholesale Trade,0.0,0.0,0.0,0.0
116,AUS,BGR,Retail Trade,0.0,0.0,0.0,0.0
117,AUS,BGR,Hotels and Restraurants,0.0,0.0,0.0,0.0
118,AUS,BGR,Transport,0.0,0.0,0.0,0.0
119,AUS,BGR,Post and Telecommunications,0.0,0.0,0.0,0.0
120,AUS,BGR,Finacial Intermediation and Business Activities,1.5,1.666,1.5,1.666
121,AUS,BGR,Public Administration,0.0,0.0,0.0,0.0
