,Agriculture,Fishing,Mining and Quarrying,Food & Beverages,Textiles and Wearing Apparel,Wood and Paper,"Petroleum, Chemical and Non-Metallic Mineral Products",Metal Products,Electrical and Machinery,Transport Equipment,Other Manufacturing,Recycling,"Electricity, Gas and Water",Construction,Maintenance and Repair,Wholesale Trade,Retail Trade,Hotels and Restraurants,Transport,Post and Telecommunications,Finacial Intermediation and Business Activities,Public Administration,"Education, Health and Other Services",Private Households,Others
AUS,0.0064719081355314855,0.0012397697201294992,0.005711104503424054,0.04508044544931826,0.011597073893864397,0.002612080433212785,0.013837825379747041,0.0023997479023184828,0.011857652322132267,0.02063061095386617,0.006501275806296777,9.117114847806e-05,0.012746299892582982,0.16892962055662908,0.0016507660544544166,0.007388414849862668,0.013406435252494152,0.04523500239082903,0.06012556211770278,0.01804691186420703,0.22926652498045658,0.08749811367383091,0.2254921078824305,0.002122343926427661,6.123090977302967e-05
AUT,0.00567415255465633,6.523325774163224e-05,0.0009345171964337874,0.04008133336101775,0.017920512418311337,0.007946088259196,0.025530577210169627,0.022851234795563762,0.08011361330291178,0.042060197009725464,0.019367063319695003,4.1368815060763315e-05,0.013025868422725,0.07152432558353439,0.020024706215598532,0.029138661999073927,0.05636164733098822,0.0684958248745965,0.07240435326343433,0.009838636998785361,0.1244552676774863,0.08308089863924828,0.18184228637014477,0.0017918068997860108,0.005429824224115145
BEL,0.00393418027890729,0.0005430891134639585,0.004398302067770472,0.0706431975774985,0.023447949200353993,0.004157561840171998,0.02618505411189381,0.01570052793928764,0.08930529387947425,0.05657303795484397,0.01419565686970427,0.00025815431507031497,0.012426299892077573,0.06195215656818444,0.024773062438845448,0.01648448836865367,0.03324288234395059,0.02966395605967612,0.0567761188245375,0.012634227781822363,0.1343535698373871,0.09577742363842899,0.20644559511025726,0.003457093683610756,0.0026711203041277875
BRA,0.02080727668170273,0.001398775157874214,0.002585281717382527,0.08614816018107836,0.02723233872056605,0.011414273095597014,0.05578824627953267,0.007972176105717948,0.06515084690227231,0.03459892484146008,0.014191545866080828,1.4070105385651165e-05,0.024114193840824732,0.07174824549434942,9.116539599934844e-05,0.00020219693869933004,0.006489001343384947,0.05682981869941999,0.03155853272612444,0.023767477183631903,0.15908495594647398,0.10736496468193071,0.16123384073197827,0.011578689111259794,0.018635002251272743
BGR,0.004355561373374983,0.00025472578828059794,0.0010107617335708469,0.05059862220805113,0.027733609001291317,0.0018381601622380768,0.012724653003197754,0.004435792692777476,0.032432934805304556,0.027057380240279698,0.01130047641523341,0.0016670263285451044,0.1107921710272091,0.05949351729429746,0.0008943439069171301,0.029393418445964152,0.05347295564720789,0.08903104257395376,0.1584410652011452,0.035390151570308934,0.020824563555839358,0.12230986350317674,0.14177577316456882,0.0013812926282805798,0.0013901377289859379
CAN,0.007913207786844987,0.000925672069376376,0.004749673998615445,0.03885731494254867,0.011610561893035028,0.004671894348275782,0.01835848089820437,0.00598068813181733,0.031531744461547426,0.02778093429266456,0.01567848831694055,0.008745279646127467,0.007094935297327865,0.1332786762334473,0.002601598446623882,0.03375397880430493,0.06975949763281188,0.03885354179408952,0.11352293208123332,0.01171886339230987,0.162824202844085,0.12541928032124042,0.1226245550603208,9.99998541183468e-06,0.0017339973207954116
CHN,0.05398791545839606,0.007465050277876936,0.00235221085138089,0.07037497044800228,0.024637181075991877,0.004464335079181544,0.020545434156462435,0.012726352277596588,0.12665315151987544,0.04082799222930741,0.00919214973272992,0.00010801979086380883,0.009321497454738488,0.2314582641014917,0.0011340141447276624,0.014330382204140709,0.031757498218406795,0.02969164917852012,0.022590048992116613,0.009500619280811093,0.0916299461585401,0.008325579276494008,0.10945791655373532,0.0004611318025108202,0.0670066897361015
CZE,0.014196040115614629,7.090203241269078e-05,0.002061331836638915,0.08017741733714204,0.01986223498155406,0.005623493416082189,0.04405882784817981,0.02143496794364859,0.11792948543986725,0.04628089511226189,0.01142313079918468,9.073745406180795e-05,0.036804217072003494,0.08161911831322877,0.006462351945801776,0.014432262024240618,0.03191183003645696,0.04487551385367188,0.07407567843897084,0.015411808460474585,0.10901545890337802,0.0701751351574042,0.1478604975723754,4.891547957275646e-05,0.004097748425772071
DNK,0.004845157692133111,5.346890579205242e-05,0.0010665359777764865,0.025200726820196927,0.009589167363961789,0.005840211508743751,0.009375659477358701,0.010436557303326264,0.036108385252057805,0.01809023158477067,0.015706762664197568,6.647625709649227e-05,0.01604691915587752,0.1263912183466132,0.016760290728049333,0.04792268329770162,0.030749990890640868,0.02728419188949289,0.06743107399239515,0.015794842376936673,0.18551813717920426,0.17239178199463245,0.15455256635965078,0.00108725653844312,0.0016897064429505062
EST,0.013962432729486648,0.0006286991047485904,0.006224978700469803,0.07073543795249752,0.02148897806367106,0.008262456412611604,0.0384416509031483,0.019611586955203996,0.09834742476068038,0.0482140295760571,0.014146616643987146,0.00027298119886145746,0.018723956112243076,0.09361520574553886,0.010320849039139702,0.01989606056494806,0.05995855845325615,0.034063819168319596,0.0733478681253484,0.01687329601052158,0.09746947302149814,0.08373673759715648,0.14687958258288464,0.00016695799987542106,0.004610362577846333
FIN,0.0087223174933588,0.0005647036304870473,0.0013987497421722214,0.028119387252187378,0.01339723864565719,0.003923568121956308,0.01645152952864119,0.010092523063174106,0.07275605945978339,0.025594635935757955,0.00700130284608915,7.931599046164819e-05,0.004611519884980531,0.12339689608366375,0.009314823436862206,0.032089529101220746,0.03536142410841798,0.03196348634426217,0.07596062608652963,0.011654950369999327,0.19016627176524337,0.07329715429193276,0.22008959337732567,0.00038998953568373883,0.003602403904151695
FRA,0.008002599256086852,0.0006824805490434179,0.002371753556343673,0.050345587426153846,0.013128537091368802,0.0024322728559328776,0.02503793343556693,0.01275649594176226,0.03760438740489673,0.03716014185912154,0.00915900939325633,7.020498517511035e-05,0.01776217346035019,0.09852331210351523,0.014604047439769608,0.03907332552162181,0.03535054599464375,0.036231607012030306,0.07696551150781675,0.014503257049649462,0.18139916513523105,0.09290441323903843,0.18518014662878546,0.00340701903269708,0.0053440721201425045
DEU,0.010175609123629407,0.00046435652053017834,0.0024649102628757132,0.0351516871314583,0.016130069089357903,0.0074188588023738665,0.01743856492287817,0.015677745439302906,0.05315097987840057,0.05104750025569827,0.014681304938205958,0.00011315169154132449,0.015466920550124556,0.09066072515202475,0.0012982023811189823,0.01725772386010222,0.036254569263357427,0.028969370078385744,0.08036264473447308,0.014665154120581338,0.1724398895403126,0.08364699217287895,0.23128378779814984,1.315451585434198e-05,0.0037661277763836815
GRC,0.01873340456385539,0.002557803273765865,0.0008024461517534843,0.07741130557653277,0.015510718130112783,0.0031538922503876925,0.018271468931409057,0.0029872633103782045,0.012507752136049537,0.013019652819540704,0.0069002937196611,5.720621438116559e-05,0.014903643685373232,0.0950249343045967,0.009756675882901699,0.030976253626498664,0.022140066622510158,0.09917742520454137,0.09713352947316173,0.025207877671340192,0.145357363377986,0.12400770100725335,0.14653134970883,0.004442833813074946,0.013427138544104274
