Country,IM-EX
AUS,-6548188.302022934
AUT,-7119547.627551675
BEL,-1809280.875308752
BRA,-11297205.866388798
BGR,-2439451.3165339828
CAN,72650427.26456833
CHN,-238610720.2406311
CZE,21540348.490053892
DNK,-20131317.919392467
EST,-108387.60550040007
FIN,3586991.264217496
FRA,34524620.05294609
DEU,-189644464.04270172
GRC,9179350.680028379
HUN,-2746822.8640326858
IND,36237203.42174339
IRL,-43592468.38858819
ITA,-44712242.91464901
JPN,-120840320.23649406
LTU,266604.5228575766
MEX,40977147.076336145
NLD,-59410671.81476402
POL,-6745330.230631113
PRT,884081.6272303462
KOR,-96592600.32245684
ROU,15007572.009228468
RUS,-97907712.17025805
SVK,3880700.4222070277
SVN,-1854072.4905599207
ESP,-31450195.910007477
SWE,-3162520.7872644663
TWN,-11475940.569963276
TUR,47569462.737006664
GBR,44182300.84470081
USA,559553963.4912262
VNM,47511893.62515104
ROW,60646794.96619034
