,Agriculture,Fishing,Mining and Quarrying,Food & Beverages,Textiles and Wearing Apparel,Wood and Paper,"Petroleum, Chemical and Non-Metallic Mineral Products",Metal Products,Electrical and Machinery,Transport Equipment,Other Manufacturing,Recycling,"Electricity, Gas and Water",Construction,Maintenance and Repair,Wholesale Trade,Retail Trade,Hotels and Restraurants,Transport,Post and Telecommunications,Finacial Intermediation and Business Activities,Public Administration,"Education, Health and Other Services",Private Households,Others
AUS,59010967.28977027,4142467.0472532604,109296886.83555333,106273438.3661294,24818812.47076647,49821540.11063642,116698204.90521693,99099007.04529786,78709633.09682678,57044677.38024448,15238380.251815997,1192572.929288962,41187681.65415825,221692030.18519878,2808341.246784552,80541593.69994102,52325868.27645571,87927979.96415922,161378632.25567317,71640698.42221749,771201033.489742,122252733.77848102,334630194.7444243,2407583.6429979983,3761544.961456803
AUT,13785120.171369031,38799.628005282466,4362364.89441821,28315068.606816992,11087153.288099885,36449893.97488496,43077073.640939236,37527552.90003461,59181995.786307484,21863864.640294187,9517130.15193998,775614.1844487049,23277634.902191132,55923388.46248224,12955745.447495863,43526496.777845815,30149500.271117277,31800276.685400605,52369018.18590171,19281142.775123738,172603141.63170126,32565663.032216024,84740073.55371869,726319.726360415,2882897.340921927
BEL,16508297.002407,356869.32665716973,7063135.102765135,58077377.57183147,20133671.88929965,27047467.122461,108617641.75844724,47322806.39878366,56896396.68553478,34810371.856204815,9282676.71486855,5401.066073287371,21291179.801533967,80874170.16984208,19152764.545541767,79429951.08836795,19386723.900183357,24488159.855168767,79985028.1285193,23972496.209304884,237964014.62559345,44304997.79844995,117642049.20319249,1639282.5638736603,3222059.618950716
BRA,130044803.91874683,2974237.1620609267,91608375.23511817,224486815.2112819,79441034.45627415,63905849.85286784,328994207.1534002,106090755.64291239,170087597.4428401,123746164.5703505,32198561.26040438,708284.4808400841,92395732.51849318,148643938.84153026,3985918.1922436715,51374060.80968211,114262979.18479164,100638148.69095106,133703435.4528198,113333203.43721399,493235047.85982186,203991081.01262957,329525214.43840045,22047880.667616062,37356094.29959953
BGR,6941578.609252986,149389.9345012913,1411417.8678473788,5943667.537403976,4279981.853115782,3540097.0263693444,11927510.725658651,6302896.242467651,11104731.399924435,3420180.34068364,1260261.8027620227,254955.55591916153,9638952.43636943,9001145.557311857,240714.67138104507,8069239.578034269,4007554.8601274583,5982120.748613638,12158435.127993776,6037661.623585554,18799600.853288136,6331913.133461976,8980981.74077756,98251.44092905932,467088.35229323857
CAN,87340459.58491854,12778070.659240797,136368828.87013486,125260954.18476865,25327744.45285418,138978065.47435737,183078290.68512422,99677920.5937227,133004505.71000244,126078762.54311934,39512247.6440172,12847400.37526778,38972845.46019006,241368175.4773949,6511711.2915885905,83928668.60678129,186668938.42942896,81316327.43312316,290801686.4681841,49920093.22460616,619644490.5759637,227312079.922175,252802895.57830194,9257.33738237224,2656852.6594684967
CHN,1384101803.6385505,157455326.96773747,832812402.1030641,1397981092.7120323,1265291261.9371383,618616729.4258287,3342461099.2040067,2417070675.7286468,3791280706.8161945,1137398644.9486675,346798719.4877726,105873023.31309901,983236303.3546788,2623263640.641806,30269676.85527117,390142554.3496678,867731325.2188187,573447259.4217103,1150218910.4844117,335044361.42985696,2138642617.9432411,81145190.56761788,1436758215.5734575,6410396.627402744,727770296.6579299
CZE,13654326.052421505,88695.91777252364,5291925.946789105,23363478.005006883,10624865.383585166,15025710.27724588,39662556.46058163,27548518.012090396,41766702.40980398,25128241.722684186,5978100.021490252,1193931.0685496044,24188354.45163007,38508346.95860426,8062925.895376457,19176799.12009842,8112280.341678383,8923035.11004105,29204532.07084622,8798773.12089865,70489727.76043557,10447866.418234771,26454945.503221102,15157.539442693263,1501185.0171242966
DNK,15471911.299245797,1288204.5314793144,7847681.7334357165,35263480.46283041,5235402.508936914,16699311.088001546,32871088.388912216,15362317.288435176,44850403.51097978,6701317.0263207415,7435118.735697761,600443.3242987777,10519028.010796603,48958367.90150834,5932702.449983337,41030929.366895676,12416204.112179454,13220517.636397537,57385898.10628286,25717799.150056645,137768862.39331967,50341358.65406517,64029991.99167744,337224.1553191406,1223964.6053207563
EST,2298544.7698510317,133785.81531892015,574773.756213033,3114819.7289047292,2237432.2023971905,2931400.916336916,2285177.228326516,1702005.6654315651,3658166.4341026563,852621.4400888141,968948.844558901,14213.209944341266,2343193.066000685,3782692.9815551657,919899.0913682156,3045610.6946964995,2070511.4640513957,1150863.595400044,7736535.4712738795,1709838.6510393596,8637988.336779382,2325315.2715142313,4313277.826358851,14547.515590861996,158663.59423366428
FIN,16781667.15286971,260825.55616971012,2063009.0039479132,16222397.69903947,2737454.9497269015,40053987.754235804,26390851.145358503,21678684.60359331,55332594.554256156,6550681.999722064,2555491.176431197,67529.09356903813,10364261.601764832,37971565.82349065,6183089.7162134135,27373551.36061535,11276672.632904567,9991083.849300971,33875876.64043717,11273691.871561782,91479065.98768792,20714063.93116973,60289220.654751316,116981.21833082507,1285425.220587307
FRA,110784388.86276652,3543006.29188471,14195854.740659019,230748562.52704215,59726914.70539044,106203196.80826266,343867084.7248606,170326486.8674799,262370434.19404596,218589501.9911654,32295372.617272116,20668.040360366947,112945737.91386005,317394540.57686657,59508174.394797236,226967716.15276122,155440197.5162758,124854821.92102946,302240737.67186725,104047304.47675651,1233349854.33955,228267068.8642261,533785517.69010586,11324350.60432506,16296767.887752345
DEU,82369986.2272538,624206.3048559753,26790456.95018609,216789047.50426796,51652770.81196296,160838196.89249963,546674361.4026068,420300465.35463697,638172949.7542019,555738261.2270306,54951310.07867187,9482744.82270652,181557907.12653616,362261982.47645676,9470671.647430876,264002367.44457656,181296788.93262705,113248515.4348527,492814294.98460376,156714855.92378014,1571796303.3291101,299313547.45840937,946185355.8802205,41433.78701840187,11891461.773910955
GRC,17973593.33805778,1357762.6122194026,6445869.060571409,26816302.07582266,8051993.697148509,5621002.989328303,22030960.098769315,9845723.71983865,5605339.0760625545,1384721.4943427693,2060912.1067185565,112516.24678603456,8252146.240632242,26995821.091336206,6312722.151006001,18818682.77456268,14737280.053134747,21168293.41974984,27807000.978173316,8226465.803763401,63836328.45750913,24139615.732724085,31730992.095805556,902919.0187623579,2897947.4652554058
HUN,16013045.88744002,39884.895111954276,1389731.2322551887,21588067.278759614,7460806.659384799,8086857.771568033,23695818.090434536,10705434.681579288,38062175.071545824,13990555.643914271,2298793.5094919805,246042.21299900496,10192688.282168388,13857627.267097432,4286472.744404313,11905400.338389618,10588898.13899649,6798394.142696893,18559301.247472703,7608708.334456669,45401844.11393454,12263144.376334881,24779930.55873156,2631.045821749943,1962658.0781621141
IND,528677378.7497556,19520709.24698683,96092470.99779998,276763309.6595952,75392349.80358678,42855618.78040385,390039695.94444853,249493353.41299498,226576129.69354552,61694190.132169485,44318943.71881232,30456487.99909167,140038063.37052542,381963370.9712479,9093700.47665649,117207739.98230053,260686172.1298876,96219624.52395627,446707957.0303868,51483554.21085018,453860720.13714147,119349667.9762938,126025913.80972849,293127.45802066795,84127553.54069905
IRL,20234751.719696917,1040458.1047696194,2435358.4005230307,44857344.387734815,3663090.851318947,27049544.54147948,83445498.59014806,8003262.70525538,94036882.47093487,3795850.829923761,2713896.611526104,311964.4728647895,7616738.683817437,52947166.60745704,4579261.70064746,24059616.40814856,12370898.673698619,21550131.359646715,38148225.215518475,18183984.77968561,114580535.15170848,20415671.297030166,45194655.185994,204100.48362435756,1681801.0109903542
ITA,65467648.58034898,2503849.204783279,11948851.88893412,175343590.91813338,163571535.27710947,92877595.19555788,236471062.48035508,155037782.86851946,254661167.28562889,87101310.38421685,51931091.820836335,5660216.19933002,84076441.70482564,188608667.6414062,70940082.89920746,184257152.50995728,165162827.3408136,134813552.7211604,262898365.2829169,64265373.19999547,703927847.3250403,141338502.78620127,343673045.6420626,9393193.100030458,17384938.75779225
