"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23"
"1",1563621.10444212,500817.278085623,848749.749516003,540670.322583018,566339.634302456,1627560.48494902,659099.106586035,2110544.57317066,673937.286247743,431263.951449288,822864.49078,4027369.45748,37854.785803,1244510.407,945714.48782,719154.937776,1127336.353,640163.4721,3516746.174,1328012.534144,1623662.92198,18368.579194,42487.161927
"2",21594075.0392135,1305815.85900558,6900479.32582635,2968428.35952025,4882105.11021339,13047231.8825471,5831148.89334298,22884625.1800807,6577210.60011156,3018131.44771488,13656623.08836,36162451.0429,490786.1313,12718700.589,12087764.926,6931136.64469,10667361.723,13601790.698,25655163.76,17359884.93625,14344393.63,215663.9287783,509246.340376
"3",16119921.9806184,1975485.34465355,4453992.17876194,2546260.62517154,2586132.73486409,8069796.29226816,2981220.6152746,11258177.2700296,4476111.60703243,2254495.38317404,11645112.84847,20842542.0213,615983.7589,15595678.685,13039571.14,10824263.29854,3876204.135,4292355.4273,22042804.372,11071279.637194,9236008.5415,148557.887205,462603.77244
"4",56097385.2451969,23896504.4220987,70602796.6540135,22200040.8290916,17191593.1818474,59391267.8491897,16125035.4195293,33782650.9855067,22850398.3757417,7731466.07467722,25244005.0329074,56913020.7102516,2015249.63272046,28060279.8968389,56445109.3134293,25119275.992651,44568568.5141251,18027272.1522391,140869861.894688,59022698.3294297,119246298.085717,32631.4034690342,9365198.39561051
"5",2291689.25871766,300822.402398236,959463.403331762,356388.999374055,412795.193306798,1195649.01797296,334020.410804585,1276093.3523115,347129.722546237,468563.71823928,740832.17525,1874920.76556,29010.98752,745037.2693,710771.86077,284840.117339,424108.5193,459747.66101,2639984.3608,834637.7742887,1355833.74338,17551.1084086,13063.097479
"6",50244750.8710333,62379010.1708855,92879968.135261,23111776.3102687,45759702.282233,100977728.491345,81056729.6052303,47077356.1490851,49758585.0011091,13224982.8909686,41093144.9415,220781265.402121,2682425.1,77889461.9506,49370303.2,77314635.60969,154346550.79,68961527.97141,751496140.6,121899286.099,329279122.455,2357236.08906912,3757537.082492
"7",16561024.0886658,9030701.00860688,26203663.6296048,13048652.9441906,33153219.8258,43061994.1964753,29571052.5353494,58896252.8180994,25037233.4655253,11006104.8550187,22722453.7482072,54337900.1837942,12792538.8075484,42195683.287519,29252888.6209053,30246758.7254073,47185806.8373876,17934245.7256138,165615492.474681,31940160.8596816,83073156.731,668940.1836464,2879972.9903859
"8",3707925.67391927,1233707.15002034,2338673.23826418,775903.777380337,1907847.54404025,5006463.60047442,2070048.61078323,6120541.52545184,1704215.28572571,1144596.81070042,6903401.38171,7937732.2494,104110.276,3561925.384,2999062.063,2079070.877415,2467711.51,2703886.948,11844922.156,3404674.93486,4294887.6807,45242.24716,210197.831386
"9",775254.018745124,1330226.82221592,2435846.6223674,1875179.96734274,2061464.54784629,5261627.64783904,2630494.26844537,8035231.17589904,2551372.19124659,1214771.89452035,3431024.13371,5869170.1134,56194.14759,2048176.879,1368400.4872,725732.423606,919735.245,1355547.3009,11129682.23,3873112.901265,4197138.5197,37830.3654812,125910.122249
"10",36435406.0050275,3312175.06081125,19378356.7086669,6833336.35494692,9121789.77205749,26988102.7242819,11206638.5985016,34746272.00127,14481190.0635787,6006930.94160222,7405874.183543,44189091.65592,771290.249863,16762500.520455,16956877.68111,12235291.284884,13712236.657599,15532177.193178,50891469.644362,15444916.47612,23908158.366021,463657.5237483,803583.75097
